,name,nickname,wins,losses,draws,height,weight,reach,stance,dob,sig_str_pm,str_acc,strikes_abs_pm,sig_str_def,td_avg,td_acc,td_def,sub_avg
818,Dominick Cruz,The Dominator,24,4,0,"5' 8""",135 lbs.,"68""",Orthodox,"Mar 09, 1985",3.91,33%,2.61,70%,2.82,42%,83%,0.1
819,Aalon Cruz,,8,4,0,"6' 0""",145 lbs.,"78""",Switch,"Sep 20, 1989",7.58,39%,8.88,58%,0.00,0%,0%,0.0
820,Timmy Cuamba,Twilight,10,3,0,"5' 9""",135 lbs.,"71""",Orthodox,"Feb 08, 1999",2.77,44%,3.58,57%,1.31,31%,72%,0.0
821,Jay Cucciniello,,8,1,0,"5' 7""",155 lbs.,--,Orthodox,"Jul 23, 1986",0.93,21%,4.73,36%,0.00,0%,71%,0.0
822,Emilio Cuellar,Show Kid,6,1,0,--,125 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
823,Josh Culibao,Kuya,11,4,1,"5' 10""",145 lbs.,"73""",Orthodox,"May 24, 1994",3.41,44%,3.04,59%,0.00,0%,65%,0.3
824,Chris Culley,,20,15,0,--,145 lbs.,--,,"Mar 25, 1986",0.00,0%,0.00,0%,0.00,0%,0%,0.0
825,Abel Cullum,The Silent Assassin,20,6,0,"5' 7""",139 lbs.,--,Orthodox,"Apr 21, 1987",1.82,40%,1.23,46%,4.01,52%,0%,2.8
826,Zak Cummings,,25,7,0,"6' 0""",205 lbs.,"75""",Southpaw,"Aug 02, 1984",2.96,35%,2.91,55%,0.62,28%,66%,0.6
827,Everett Cummings,,12,0,0,--,205 lbs.,--,,--,0.43,60%,4.34,45%,0.00,0%,0%,2.2
828,Patrick Cummins,Durkin,10,7,0,"6' 2""",205 lbs.,"76""",Orthodox,"Nov 16, 1980",4.26,50%,3.35,55%,4.49,41%,28%,0.1
829,Luke Cummo,,6,6,0,"6' 0""",170 lbs.,"74""",Orthodox,"Apr 27, 1980",1.74,43%,1.50,59%,0.89,55%,42%,1.4
830,Hugo Cunha,Silverback,8,2,0,"6' 3""",263 lbs.,"79""",Orthodox,"Feb 04, 1993",0.60,30%,3.01,34%,0.00,0%,0%,0.0
831,Alton Cunningham,The Bo-Man,4,2,0,"6' 2""",205 lbs.,"77""",Orthodox,"Jun 24, 1993",3.33,75%,4.94,20%,1.67,10%,100%,0.0
832,AJ Cunningham,The Savage,11,5,0,"5' 10""",135 lbs.,"71""",Orthodox,"Sep 07, 1994",4.22,29%,6.31,48%,0.00,0%,46%,0.5
833,Tommy Cuozzi Jr.,Little T,8,1,0,"5' 9""",145 lbs.,"71""",Orthodox,"Aug 31, 1999",2.43,17%,14.22,34%,0.00,0%,0%,0.0
834,Santo Curatolo,,6,2,0,"5' 3""",125 lbs.,"62""",Southpaw,"Jan 18, 1995",1.40,39%,6.07,34%,2.00,33%,100%,0.0
835,Larry Cureton,,0,2,0,"6' 2""",240 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
836,Jeff Curran,Big Frog,36,18,1,"5' 6""",135 lbs.,"69""",Orthodox,"Sep 02, 1977",1.54,31%,2.48,60%,0.35,12%,35%,1.2
837,Kailin Curran,,4,5,0,"5' 4""",115 lbs.,"65""",Orthodox,"Apr 11, 1991",3.89,43%,4.75,53%,2.00,57%,61%,0.6
838,Pat Curran,Paddy Mike,22,7,0,"5' 9""",145 lbs.,--,,"Aug 31, 1987",4.70,58%,4.40,63%,2.50,62%,66%,0.0
839,Will Currie,Drago,12,4,0,"6' 3""",185 lbs.,"76""",Switch,"Nov 12, 1998",2.73,47%,5.67,44%,2.00,13%,50%,0.0
840,Chris Curtis,Action-Man,32,12,0 (1 NC),"5' 10""",170 lbs.,"75""",Orthodox,"Jul 15, 1987",5.98,50%,6.19,54%,0.00,0%,82%,0.0
841,Ion Cutelaba,The Hulk,19,11,1 (1 NC),"6' 1""",205 lbs.,"75""",Southpaw,"Dec 14, 1993",4.26,43%,3.34,47%,3.77,49%,75%,0.1
842,Gleidson Cutis,Poney,7,4,0,"5' 9""",155 lbs.,--,Orthodox,"Feb 07, 1989",2.99,52%,8.28,59%,0.00,0%,0%,0.0
843,Sarah D'alelio,The Monster,11,7,0,"5' 7""",145 lbs.,--,,"Dec 13, 1980",2.40,33%,0.00,100%,0.00,0%,100%,0.0
844,Marcos da Matta,Parrumpinha,11,3,0,"5' 4""",145 lbs.,--,,"Mar 18, 1973",0.00,0%,0.00,0%,0.00,0%,0%,0.0
845,Henrique da Silva,Frankenstein,14,5,0,"6' 3""",205 lbs.,"76""",Orthodox,"Sep 01, 1989",3.89,60%,5.28,40%,0.25,14%,22%,0.2
846,Ariane da Silva,Queen of Violence,17,11,0,"5' 6""",125 lbs.,"67""",Orthodox,"Jan 26, 1994",4.05,41%,4.40,50%,0.47,38%,68%,0.3
847,Alex Da Silva,Leko,21,4,0,"5' 8""",155 lbs.,"73""",Orthodox,"Feb 04, 1996",2.14,46%,2.52,56%,1.97,43%,76%,0.3
848,Radley Da Silva,Snake Eyes,8,1,0,"5' 9""",145 lbs.,"71""",Orthodox,"Jun 20, 1995",0.27,22%,0.93,48%,6.00,100%,100%,0.0
849,Henrique Da Silva Lopes,Montanha,5,2,0,"6' 3""",240 lbs.,--,,"Mar 08, 1985",0.00,0%,0.00,0%,0.00,0%,0%,0.0
850,Deni Daffa,,6,2,0,"6' 0""",155 lbs.,"74""",Orthodox,"Sep 08, 1999",3.47,38%,6.45,38%,0.00,0%,0%,0.0
851,Nicolas Dalby,Lokomotivo,24,6,1 (2 NC),"5' 11""",170 lbs.,"74""",Orthodox,"Nov 16, 1984",3.88,43%,3.51,52%,0.90,26%,59%,0.1
852,Paul Daley,Semtex,39,15,2,"5' 9""",170 lbs.,"76""",Orthodox,"Feb 21, 1983",3.14,47%,2.37,60%,0.91,40%,64%,0.0
853,Dave Dalgliesh,,30,19,2,"6' 2""",205 lbs.,--,Orthodox,"Apr 05, 1978",0.00,0%,1.85,50%,0.00,0%,0%,0.0
854,Richard Dalton,,4,3,1,"6' 1""",205 lbs.,--,Orthodox,"Jul 19, 1977",1.20,69%,3.27,25%,1.00,11%,0%,0.0
855,Aisling Daly,Ais the Bash,16,6,0,"5' 2""",115 lbs.,"64""",Orthodox,"Dec 24, 1987",2.92,52%,1.40,55%,2.15,41%,33%,0.9
856,Marko Damiani,,0,2,0,"6' 0""",170 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
857,Leonardo Damiani,Puppy,10,3,1,"5' 10""",170 lbs.,"69""",Orthodox,"Aug 30, 1990",1.67,23%,4.17,37%,0.00,0%,50%,0.0
858,Rodrigo Damm,,13,9,0,"5' 7""",155 lbs.,"71""",Orthodox,"Feb 03, 1980",3.50,36%,5.61,57%,0.44,16%,80%,0.3
859,Carina Damm,Beauty But the Beast,2,13,0,"5' 4""",135 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
860,Batgerel Danaa,Storm,12,5,0,"5' 7""",135 lbs.,"70""",Orthodox,"Jul 04, 1989",5.38,36%,4.21,47%,0.52,50%,62%,0.0
861,Cindy Dandois,Battlecat,8,3,0,"5' 7""",135 lbs.,--,Orthodox,"Oct 26, 1984",3.13,32%,3.40,58%,5.00,55%,0%,0.0
862,Peter Danesoe,The Asian Viking,8,4,0,"5' 9""",135 lbs.,"68""",Orthodox,"Sep 01, 2000",4.99,52%,6.73,38%,0.00,0%,62%,0.0
863,Jarjis Danho,Man Mountain,7,1,1 (1 NC),"6' 3""",265 lbs.,"74""",Orthodox,"Oct 15, 1983",3.38,50%,5.25,49%,0.51,16%,100%,0.0
864,Jose Daniel Medina,Chicho,11,6,0,"6' 0""",185 lbs.,"74""",Orthodox,"May 17, 1991",2.16,36%,5.07,46%,0.40,33%,27%,0.0
865,Raymond Daniels,,0,1,0,"6' 2""",185 lbs.,--,Southpaw,"Apr 29, 1980",0.00,0%,2.61,38%,0.00,0%,33%,3.0
866,Marques Daniels,,5,5,0,--,155 lbs.,--,,"Jun 14, 1978",0.00,0%,0.00,0%,0.00,0%,0%,0.0
867,Anvarbek Daniyalbekov,,8,0,0,--,185 lbs.,--,,"May 27, 1995",0.00,0%,0.00,0%,0.00,0%,0%,0.0
868,Alexandre Dantas,Cafe,0,3,0,"6' 2""",238 lbs.,--,Orthodox,"Mar 01, 1979",0.21,25%,1.87,60%,0.00,0%,0%,3.1
869,Eduardo Dantas,Dudu,20,4,0,"5' 10""",135 lbs.,--,,"Feb 03, 1989",3.33,60%,3.00,60%,4.00,23%,100%,0.0
870,Mac Danzig,,21,12,1,"5' 8""",155 lbs.,"70""",Orthodox,"Jan 02, 1980",3.39,48%,3.44,57%,1.20,37%,46%,0.6
871,Karen Darabedyan,,13,6,0,"5' 7""",155 lbs.,"68""",Orthodox,"Dec 18, 1986",3.43,51%,2.62,67%,2.14,75%,0%,0.0
872,Beneil Dariush,,23,7,1,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989",3.78,49%,2.62,57%,2.11,38%,82%,0.8
873,Sean Daugherty,,0,2,0,"6' 0""",175 lbs.,--,,"Dec 04, 1975",0.00,0%,0.00,0%,0.00,0%,0%,0.0
874,Kyle Daukaus,,17,4,0 (1 NC),"6' 2""",185 lbs.,"76""",Southpaw,"Feb 27, 1993",3.32,53%,2.90,42%,2.08,25%,82%,2.1
875,Chris Daukaus,,12,7,0,"6' 3""",205 lbs.,"76""",Orthodox,"Sep 25, 1989",6.05,50%,4.64,55%,0.00,0%,100%,0.0
876,Brian Davidson,,13,4,0,"5' 6""",145 lbs.,--,,"Nov 22, 1975",0.00,0%,0.00,0%,0.00,0%,0%,0.0
877,Rick Davis,The Flying Squirrel,3,1,1,"5' 9""",155 lbs.,--,Orthodox,--,3.09,50%,6.19,64%,0.00,0%,0%,0.0
878,Marcus Davis,The Irish Hand Grenade,22,11,0 (1 NC),"5' 10""",170 lbs.,"70""",Southpaw,"Aug 24, 1973",2.72,39%,2.79,65%,1.60,48%,47%,1.4
879,LC Davis,,23,8,0,"5' 8""",135 lbs.,"69""",Southpaw,"Oct 28, 1980",2.04,30%,2.10,59%,2.27,46%,66%,0.2
880,Phil Davis,Mr. Wonderful,17,4,0 (1 NC),"6' 2""",205 lbs.,"79""",Orthodox,"Sep 25, 1984",2.85,34%,1.33,72%,2.99,38%,72%,0.6
881,Lemont Davis,,2,6,0,"5' 8""",170 lbs.,--,Orthodox,--,0.87,54%,1.27,55%,1.00,50%,0%,1.0
882,Mike Davis,,2,0,0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
883,Justin Davis,Dangerous,13,16,0,"5' 11""",205 lbs.,--,,"Apr 01, 1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0
884,Alexis Davis,,21,11,0,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 04, 1984",4.63,49%,4.45,54%,0.95,44%,34%,0.7
885,Danny Davis,,13,11,1,"6' 2""",170 lbs.,--,,"Jul 28, 1982",0.00,0%,0.00,0%,0.00,0%,0%,0.0
886,Brandon Davis,Killer B,14,10,0,"5' 10""",135 lbs.,"72""",Orthodox,"May 08, 1990",4.68,35%,4.62,58%,0.74,42%,57%,0.1
887,Mike Davis,Beast Boy,12,3,0,"6' 0""",155 lbs.,"72""",Orthodox,"Oct 07, 1992",4.73,53%,5.23,54%,2.40,44%,60%,0.8
888,Hakeem Dawodu,Mean,13,4,1,"5' 8""",145 lbs.,"73""",Orthodox,"Jul 02, 1991",5.45,50%,3.37,56%,0.00,0%,65%,0.0
889,Grant Dawson,KGD,23,3,1,"5' 10""",155 lbs.,"72""",Switch,"Feb 20, 1994",3.21,52%,2.13,44%,3.81,39%,57%,1.1
890,Jason Day,Dooms,19,12,0,"6' 0""",185 lbs.,"72""",Orthodox,"May 19, 1981",3.61,54%,3.46,47%,1.13,100%,0%,0.0
891,Martin Day,The Spartan,8,6,0,"5' 10""",145 lbs.,"73""",Orthodox,"Nov 10, 1988",3.97,45%,3.79,53%,0.72,60%,65%,0.5
892,Angel De Anda,The Dream,18,6,0,"5' 9""",225 lbs.,--,Orthodox,"May 28, 1985",5.68,46%,6.32,47%,0.00,0%,0%,0.0
893,Yorgan De Castro,The Mad Titan,6,3,0,"6' 0""",250 lbs.,"74""",Orthodox,"Dec 19, 1986",2.46,43%,3.85,53%,0.00,0%,77%,0.0
894,Geraldo de Freitas,Spartan,12,6,0,"5' 7""",135 lbs.,"72""",Orthodox,"Sep 30, 1991",3.67,52%,2.62,50%,3.00,45%,59%,0.0
895,Philip De Fries,,12,6,0 (1 NC),"6' 5""",250 lbs.,"79""",Orthodox,"Apr 21, 1986",2.30,47%,3.00,37%,3.29,42%,100%,0.6
896,Chris de la Rocha,,5,3,0,"6' 3""",250 lbs.,"80""",Orthodox,"May 15, 1979",4.08,45%,6.37,43%,2.02,30%,33%,1.0
897,Montana De La Rosa,,13,9,1,"5' 7""",125 lbs.,"68""",Orthodox,"Feb 14, 1995",2.90,37%,3.39,45%,1.85,33%,68%,0.8
898,Mark De La Rosa,Bumblebee,11,5,0,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 31, 1994",3.13,35%,5.00,48%,0.54,13%,40%,0.2
899,Mike de la Torre,El Cucuy,14,7,0 (1 NC),"5' 11""",145 lbs.,"71""",Orthodox,"Sep 22, 1986",3.21,39%,4.75,51%,0.36,16%,83%,0.0
900,Rodrigo de Lima,Monstro,8,3,1,"5' 7""",155 lbs.,--,Orthodox,"Mar 12, 1991",1.29,33%,5.50,32%,2.66,36%,0%,1.3
901,Edilberto de Oliveira,Crocota,29,15,2,"6' 0""",170 lbs.,--,Orthodox,"Nov 22, 1982",4.12,32%,6.79,61%,0.00,0%,0%,0.0
902,Johil de Oliveira,,17,15,1 (1 NC),"5' 6""",170 lbs.,--,Orthodox,"Aug 07, 1969",0.51,34%,0.73,58%,1.10,50%,44%,0.6
903,Jorge de Oliveira,Blade,9,2,0,"5' 8""",155 lbs.,--,Orthodox,"Jan 22, 1980",1.26,31%,4.84,48%,0.00,0%,22%,0.0
904,Jair De Oliveira,Mamute,6,1,0,"5' 9""",205 lbs.,"69""",,"May 09, 1996",3.98,60%,3.45,69%,0.00,0%,0%,0.0
905,Isabela de Padua,Belinha,5,2,0,"5' 3""",125 lbs.,"64""",Orthodox,"Sep 04, 1991",1.00,35%,2.07,50%,2.00,66%,0%,1.0
906,Gloria de Paula,Glorinha,6,5,0,"5' 5""",115 lbs.,"67""",Orthodox,"Jun 10, 1995",4.89,53%,3.77,66%,0.74,37%,65%,0.5
907,Germaine de Randamie,The Iron Lady,10,5,0,"5' 9""",135 lbs.,"71""",Orthodox,"Apr 24, 1984",2.57,46%,2.00,65%,0.00,0%,65%,0.4
908,Reinier de Ridder,RdR,21,3,0,"6' 4""",185 lbs.,"78""",Southpaw,"Sep 07, 1990",2.20,53%,2.04,48%,2.68,30%,50%,0.7
909,Crezio de Souza,,1,2,0,--,170 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
910,Carl Deaton,The Anishinaabe Kid,17,7,0 (2 NC),"5' 7""",155 lbs.,"69""",Orthodox,"Nov 24, 1989",1.53,31%,1.85,61%,0.00,0%,50%,0.0
911,Tom DeBlass,,9,2,0,"6' 0""",185 lbs.,--,Orthodox,"May 14, 1982",1.50,35%,4.43,37%,1.00,50%,28%,0.5
912,Issac DeJesus,,12,7,1 (1 NC),--,145 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
913,Rafael  Del Real,,6,20,0,"5' 11""",225 lbs.,--,,--,5.58,40%,0.00,0%,20.93,100%,100%,0.0
914,Shane del Rosario,,11,2,0,"6' 4""",250 lbs.,--,Southpaw,"Sep 23, 1983",3.93,60%,2.97,54%,1.20,40%,16%,2.4
915,Wallen Del Rosario,,8,2,0,"5' 4""",125 lbs.,"67""",Orthodox,"Mar 18, 1993",1.40,32%,4.73,40%,1.00,16%,100%,0.0
916,Yadier del Valle,The Cuban Problem,10,0,0,"5' 9""",145 lbs.,"69""",Southpaw,"Jul 29, 1996",6.25,67%,2.87,52%,2.08,42%,75%,3.5
917,Jose Delano,,16,3,0,"5' 8""",145 lbs.,"70""",Orthodox,"Sep 11, 1996",9.73,65%,2.53,72%,0.00,0%,60%,0.0
918,Humberto DeLeon,,7,7,0,--,135 lbs.,--,,"Nov 12, 1989",0.00,0%,0.00,0%,0.00,0%,0%,0.0
919,Rolando Delgado,Roli,11,6,1,"6' 3""",155 lbs.,"77""",Orthodox,"Nov 22, 1981",1.56,40%,1.83,62%,1.17,22%,0%,3.5
920,Israel Delgado,,0,2,0,"5' 10""",155 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
921,Jose Delgado,,10,2,0,"5' 11""",145 lbs.,"74""",Switch,"Apr 21, 1998",8.22,54%,5.44,47%,1.81,42%,60%,0.0
922,Ante Delija,Walking Trouble,26,7,0,"6' 3""",239 lbs.,"78""",Orthodox,"Aug 07, 1990",4.81,45%,2.65,38%,0.00,0%,0%,0.0
923,Jack Della Maddalena,,18,3,0,"5' 11""",170 lbs.,"73""",Switch,"Sep 10, 1996",5.57,51%,3.84,63%,0.13,10%,64%,0.1
924,Roland Delorme,,9,5,0 (1 NC),"5' 9""",135 lbs.,"71""",Orthodox,"Dec 18, 1983",2.28,44%,4.32,40%,2.51,34%,42%,1.6
925,Jon Delos Reyes,The Heat,8,5,0,"5' 6""",125 lbs.,"67""",Orthodox,"Aug 19, 1987",2.99,38%,4.14,51%,3.20,83%,55%,1.9
926,Jason DeLucia,,33,21,1,"5' 11""",190 lbs.,--,Southpaw,"Jul 24, 1969",0.00,0%,0.00,0%,0.00,0%,0%,0.0
927,Justin DeMoney,,15,7,1,--,170 lbs.,--,,"Jul 01, 1985",0.00,0%,0.00,0%,0.00,0%,0%,0.0
928,Vanessa Demopoulos,Lil Monster,11,8,0,"5' 2""",125 lbs.,"59""",Orthodox,"Sep 22, 1988",3.37,39%,5.39,41%,0.32,9%,26%,0.4
929,Chris Dempsey,,11,5,0,"5' 10""",185 lbs.,"72""",Orthodox,"Sep 08, 1987",2.25,32%,2.82,65%,2.64,23%,16%,0.0
930,Nick Denis,The Ninja of Love,11,3,0,"5' 7""",135 lbs.,--,Orthodox,"Oct 11, 1983",6.54,53%,5.42,36%,2.80,100%,80%,0.0
931,Thomas Denny,The Wildman,27,21,1,"5' 10""",170 lbs.,--,Orthodox,"Apr 19, 1971",2.36,45%,4.69,40%,1.48,17%,42%,1.5
932,Robert Densley,The Wrecker,9,10,0,"5' 9""",155 lbs.,--,,--,1.81,47%,0.40,60%,0.00,0%,50%,0.0
933,Jason Dent,Dynamite,22,13,0,"5' 10""",155 lbs.,"71""",Orthodox,"Jun 12, 1980",2.01,39%,3.70,62%,0.00,0%,26%,1.4
934,Mackenzie Dern,,16,5,0,"5' 4""",115 lbs.,"63""",Orthodox,"Mar 24, 1993",3.47,41%,3.93,51%,0.93,18%,37%,1.1
935,Booker DeRousse,,6,5,0,"6' 2""",205 lbs.,--,,"Mar 23, 1981",0.00,0%,0.00,0%,0.00,0%,0%,0.0
936,Tony DeSouza,,11,4,0,"6' 0""",170 lbs.,"70""",Southpaw,"Jul 26, 1974",1.12,52%,1.57,41%,2.25,42%,40%,1.5
937,Robelis Despaigne,The Big Boy,5,2,0,"6' 7""",265 lbs.,"84""",Orthodox,"Sep 09, 1988",2.11,59%,2.54,46%,0.00,0%,50%,0.0
938,Cory Devela,The One,16,7,0,"5' 0""",185 lbs.,--,Orthodox,"Aug 05, 1984",4.07,41%,4.00,47%,1.07,12%,62%,0.0
939,John Devine,,6,4,0,--,--,--,,"Jan 17, 1978",1.52,18%,2.28,57%,0.00,0%,0%,0.0
940,Edwin DeWees,Babyface,38,17,0 (1 NC),"6' 1""",185 lbs.,--,Orthodox,"Aug 07, 1982",1.53,33%,6.19,39%,2.18,66%,0%,3.3
941,Alessio Di Chirico,Manzo,13,7,0,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989",3.32,39%,3.44,61%,1.46,39%,83%,0.0
942,Micol Di Segni,,7,3,0,"5' 3""",115 lbs.,"60""",Orthodox,"Dec 29, 1987",7.47,40%,5.87,33%,0.00,0%,37%,0.0
943,Cyrille Diabate,The Snake,19,10,1,"6' 6""",205 lbs.,"81""",Southpaw,"Oct 06, 1973",4.06,71%,1.78,60%,1.17,83%,53%,0.2
944,Thomas Diagne,,6,6,1,"6' 1""",154 lbs.,--,,"Sep 03, 1983",4.53,48%,4.53,63%,2.00,100%,66%,0.0
945,Marc Diakiese,Bonecrusher,17,7,0,"5' 10""",155 lbs.,"73""",Orthodox,"Mar 16, 1993",2.54,40%,2.64,52%,3.29,43%,66%,0.0
946,Tyler Diamond,,9,1,0,"5' 7""",145 lbs.,"69""",Orthodox,"Mar 18, 1991",3.40,47%,2.53,44%,3.00,75%,70%,0.0
947,Blood Diamond,,3,3,0,"5' 11""",170 lbs.,"76""",Switch,"Jul 10, 1988",3.12,55%,2.17,48%,0.00,0%,73%,0.0
948,Eldo Xavier Dias,,0,1,0,"5' 11""",180 lbs.,--,,"Jul 16, 1964",0.00,0%,0.00,0%,0.00,0%,0%,0.0
949,Rafael Dias,,17,12,2,"5' 9""",145 lbs.,--,Orthodox,"Oct 20, 1979",1.13,27%,2.19,60%,3.17,47%,100%,1.2
950,Hacran Dias,Barnabe,23,6,1,"5' 8""",155 lbs.,"69""",Orthodox,"Jun 16, 1984",2.08,41%,3.31,55%,2.50,39%,76%,0.5
951,Victor Dias,Crazy Horse,11,3,0,"5' 6""",125 lbs.,"69""",Orthodox,"Dec 26, 1990",2.87,44%,5.80,55%,5.00,41%,0%,0.0
952,Luis Felipe Dias,,17,5,0,"5' 10""",185 lbs.,"74""",,"Jan 17, 1995",1.77,38%,2.70,52%,6.24,57%,66%,1.6
953,Magno Dias,The Violence,6,2,0,"5' 5""",135 lbs.,"67""",,"Nov 30, 1995",2.44,45%,7.32,50%,1.41,33%,0%,1.4
954,Nick Diaz,,26,10,0 (2 NC),"6' 1""",170 lbs.,"76""",Southpaw,"Aug 02, 1983",5.71,42%,3.84,59%,1.28,32%,60%,1.0
955,Nate Diaz,,22,13,0,"6' 0""",170 lbs.,"76""",Southpaw,"Apr 16, 1985",4.57,45%,3.77,52%,1.05,30%,41%,1.3
956,Michael Diaz,,1,2,0,--,260 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
957,Ryan Diaz,,13,14,0,--,145 lbs.,--,,"Feb 06, 1979",0.00,0%,0.00,0%,0.00,0%,0%,0.0
958,Adrian Diaz,,11,4,1,"5' 10""",145 lbs.,--,Southpaw,"Apr 26, 1988",0.48,42%,3.84,51%,2.40,50%,0%,0.0
959,Ozzy Diaz,,10,3,0,"6' 4""",185 lbs.,"79""",Orthodox,"Nov 22, 1990",6.44,50%,7.23,59%,0.00,0%,50%,0.0
960,Juan Diaz,Pegajoso,15,1,1,"5' 8""",135 lbs.,"69""",Orthodox,"Jun 03, 1998",5.82,39%,5.02,60%,3.01,33%,0%,0.0
961,Mark Dickman,Tricky,11,3,0,"5' 9""",145 lbs.,--,,"Jul 19, 1984",0.00,0%,0.00,0%,0.00,0%,0%,0.0
962,Josh Diekmann,The Freight Train,15,8,0 (1 NC),"5' 4""",246 lbs.,--,,"Oct 09, 1976",0.28,5%,8.17,25%,0.00,0%,0%,0.0
963,Kyle Dietz,,5,2,0,"5' 8""",135 lbs.,--,Orthodox,"Apr 29, 1986",1.82,45%,2.08,62%,0.00,0%,0%,0.0
964,Seth Dikun,,9,8,0,"5' 10""",135 lbs.,"69""",Orthodox,"Aug 05, 1980",1.45,26%,2.18,55%,0.00,0%,45%,0.9
965,TJ Dillashaw,,18,5,0,"5' 6""",135 lbs.,"67""",Orthodox,"Feb 07, 1986",5.09,41%,3.47,62%,1.56,30%,77%,0.8
966,Ralph Dillon,Rage,0,2,1,"6' 2""",205 lbs.,--,Orthodox,--,0.34,14%,0.69,60%,0.00,0%,0%,0.0
967,Drew Dimanlig,,3,4,0,--,185 lbs.,--,,--,3.70,73%,3.17,20%,0.00,0%,0%,0.0
968,Ding Meng,The Assassin,34,9,0,"6' 2""",170 lbs.,"73""",Orthodox,"Sep 27, 1994",3.40,50%,3.87,48%,1.00,50%,0%,0.0
969,Rodolfo Marques Diniz,,23,9,1,"5' 6""",135 lbs.,--,,"Jan 23, 1984",1.08,32%,2.36,33%,0.00,0%,50%,1.8
970,Jhonata Diniz,,9,2,0,"6' 4""",254 lbs.,"79""",Orthodox,"Jun 23, 1991",3.89,56%,3.62,56%,0.00,0%,70%,0.0
971,Helio Dipp,,6,3,0,"6' 5""",185 lbs.,--,Orthodox,"Dec 12, 1979",0.60,25%,1.80,62%,0.00,0%,50%,0.0
972,Rico DiSciullo,,9,2,0 (1 NC),"5' 8""",135 lbs.,--,Orthodox,"Oct 12, 1986",1.71,33%,4.41,56%,0.00,0%,0%,0.0
973,Matt Dixon,Magic,9,1,0,"5' 10""",170 lbs.,"75""",Switch,"Oct 09, 1995",1.97,43%,4.56,37%,3.06,30%,0%,0.0
974,John Dixson,Big John,15,22,0,"6' 0""",275 lbs.,--,Orthodox,"Oct 15, 1961",0.00,0%,0.00,0%,0.00,0%,0%,0.0
975,Anthony Do,,4,2,0,"5' 4""",125 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
976,Russell Doane,,15,8,0,"5' 7""",135 lbs.,"70""",Orthodox,"Aug 13, 1986",1.75,40%,1.68,53%,2.11,45%,52%,0.8
977,Drew Dober,,28,15,0 (1 NC),"5' 8""",155 lbs.,"70""",Southpaw,"Oct 19, 1988",4.52,41%,4.34,52%,0.63,16%,58%,0.1
978,Shana Dobson,Danger,4,5,0,"5' 6""",125 lbs.,"69""",Orthodox,"Mar 30, 1989",3.34,37%,5.20,50%,0.84,50%,14%,0.0
979,AJ Dobson,,7,3,0 (1 NC),"6' 1""",185 lbs.,"76""",Orthodox,"Jan 18, 1992",4.29,46%,5.31,46%,1.67,75%,65%,0.3
980,David Dodd,,4,7,0,"6' 2""",200 lbs.,--,Orthodox,"Sep 22, 1973",0.00,0%,0.00,0%,0.00,0%,0%,0.0
981,John Dodson,The Magician,22,12,0,"5' 3""",135 lbs.,"66""",Orthodox,"Sep 26, 1984",3.20,40%,3.58,61%,0.71,28%,82%,0.0
982,Joe Doerksen,El Dirte,51,16,0,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 09, 1977",1.43,42%,2.79,50%,2.02,33%,33%,2.3
983,Mike Dolce,Skull Cracker,5,10,0,"5' 11""",185 lbs.,--,,"Apr 15, 1976",0.00,0%,0.00,0%,0.00,0%,0%,0.0
984,Roman Dolidze,,15,4,0,"6' 2""",185 lbs.,"76""",Orthodox,"Jul 15, 1988",3.41,41%,3.72,48%,0.99,39%,26%,0.8
985,Cameron Dollar,,11,5,0,"5' 11""",155 lbs.,--,Orthodox,"May 12, 1987",5.04,38%,2.94,61%,0.00,0%,0%,0.0
986,CB Dollaway,The Doberman,17,9,0,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 10, 1983",2.65,47%,2.58,54%,3.55,54%,62%,1.2
987,Dennis Dombrow,,7,5,0 (1 NC),--,145 lbs.,--,,"Mar 17, 1986",0.00,0%,0.00,0%,0.00,0%,0%,0.0
988,OJ Dominguez,,0,1,0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
989,John Donaldson,J.T.,2,2,0,"5' 8""",145 lbs.,--,,"Jul 09, 1992",1.21,23%,4.22,51%,0.00,0%,0%,0.0
